STATE,COUNTY,TRACT,NAME,ct10,ct9,MSSAdef,NCHS_County,NCHS_CBSA,NCHS_2013code,NCHS_2006code,NCHS_1990basedcode,NCHS2013_text
6,65,40607,406.07,6065040607,65040607,Urban,Riverside County,"Riverside-San Bernardino-Ontario, CA",1,1,1,Large central metro
6,65,40609,406.09,6065040609,65040609,Urban,Riverside County,"Riverside-San Bernardino-Ontario, CA",1,1,1,Large central metro
6,65,40613,406.13,6065040613,65040613,Urban,Riverside County,"Riverside-San Bernardino-Ontario, CA",1,1,1,Large central metro
6,65,40615,406.15,6065040615,65040615,Urban,Riverside County,"Riverside-San Bernardino-Ontario, CA",1,1,1,Large central metro
6,65,40616,406.16,6065040616,65040616,Urban,Riverside County,"Riverside-San Bernardino-Ontario, CA",1,1,1,Large central metro
6,65,40701,407.01,6065040701,65040701,Urban,Riverside County,"Riverside-San Bernardino-Ontario, CA",1,1,1,Large central metro
6,65,49500,495,6065049500,65049500,Urban,Riverside County,"Riverside-San Bernardino-Ontario, CA",1,1,1,Large central metro
6,65,49600,496,6065049600,65049600,Urban,Riverside County,"Riverside-San Bernardino-Ontario, CA",1,1,1,Large central metro
6,65,49700,497,6065049700,65049700,Urban,Riverside County,"Riverside-San Bernardino-Ontario, CA",1,1,1,Large central metro
6,65,49800,498,6065049800,65049800,Urban,Riverside County,"Riverside-San Bernardino-Ontario, CA",1,1,1,Large central metro
6,65,50300,503,6065050300,65050300,Urban,Riverside County,"Riverside-San Bernardino-Ontario, CA",1,1,1,Large central metro
6,65,50500,505,6065050500,65050500,Urban,Riverside County,"Riverside-San Bernardino-Ontario, CA",1,1,1,Large central metro
6,65,50600,506,6065050600,65050600,Urban,Riverside County,"Riverside-San Bernardino-Ontario, CA",1,1,1,Large central metro
6,65,50700,507,6065050700,65050700,Urban,Riverside County,"Riverside-San Bernardino-Ontario, CA",1,1,1,Large central metro
6,65,50900,509,6065050900,65050900,Urban,Riverside County,"Riverside-San Bernardino-Ontario, CA",1,1,1,Large central metro
6,65,51200,512,6065051200,65051200,Urban,Riverside County,"Riverside-San Bernardino-Ontario, CA",1,1,1,Large central metro
6,65,51300,513,6065051300,65051300,Urban,Riverside County,"Riverside-San Bernardino-Ontario, CA",1,1,1,Large central metro
6,65,51400,514,6065051400,65051400,Urban,Riverside County,"Riverside-San Bernardino-Ontario, CA",1,1,1,Large central metro
6,65,940100,9401,6065940100,65940100,Frontier,Riverside County,"Riverside-San Bernardino-Ontario, CA",1,1,1,Large central metro
6,53,11900,119,6053011900,53011900,Urban,Monterey County,"Salinas, CA",3,3,3,Medium metro
6,53,12000,120,6053012000,53012000,Urban,Monterey County,"Salinas, CA",3,3,3,Medium metro
6,53,12100,121,6053012100,53012100,Urban,Monterey County,"Salinas, CA",3,3,3,Medium metro
6,53,12302,123.02,6053012302,53012302,Urban,Monterey County,"Salinas, CA",3,3,3,Medium metro
6,53,12401,124.01,6053012401,53012401,Urban,Monterey County,"Salinas, CA",3,3,3,Medium metro
6,53,12402,124.02,6053012402,53012402,Urban,Monterey County,"Salinas, CA",3,3,3,Medium metro
6,53,12502,125.02,6053012502,53012502,Urban,Monterey County,"Salinas, CA",3,3,3,Medium metro
6,53,12600,126,6053012600,53012600,Urban,Monterey County,"Salinas, CA",3,3,3,Medium metro
6,53,12700,127,6053012700,53012700,Urban,Monterey County,"Salinas, CA",3,3,3,Medium metro
6,53,12800,128,6053012800,53012800,Urban,Monterey County,"Salinas, CA",3,3,3,Medium metro
